Provincia,Año,Periodo,Total,Poblacion,Porcentaje_conexiones
Buenos Aires,2018,2018-1,3471700.0,17196396,0.20188532527397018
Buenos Aires,2019,2019-1,3732709.0,17370144,0.21489223117551587
Buenos Aires,2020,2020-1,3718747.0,17541141,0.2120014313778106
Buenos Aires,2021,2021-1,4060002.0,17709598,0.22925432864145193
Buenos Aires,2022,2022-1,4555424.0,17875743,0.2548383023855288
Capital Federal,2018,2018-1,1368594.0,3068043,0.44608044932877405
Capital Federal,2019,2019-1,1401583.0,3072029,0.45624015919120553
Capital Federal,2020,2020-1,1354054.0,3075646,0.4402502758770028
Capital Federal,2021,2021-1,1379673.0,3078836,0.4481151318225459
Capital Federal,2022,2022-1,1417541.0,3081550,0.4600090863364216
Catamarca,2018,2018-1,33929.0,408152,0.08312834434230384
Catamarca,2019,2019-1,34739.0,411824,0.0843539958817359
Catamarca,2020,2020-1,38860.0,415438,0.09353983025144547
Catamarca,2021,2021-1,51968.0,418991,0.12403130377502142
Catamarca,2022,2022-1,62378.0,422476,0.14764862382715233
Chaco,2018,2018-1,96782.0,1180477,0.08198550247061145
Chaco,2019,2019-1,106982.0,1192616,0.0897036430837755
Chaco,2020,2020-1,120226.0,1204541,0.09981063326196452
Chaco,2021,2021-1,139770.0,1216247,0.11491909127011207
Chaco,2022,2022-1,144119.0,1227736,0.11738598526067494
Chubut,2018,2018-1,97928.0,598380,0.16365520237975867
Chubut,2019,2019-1,82678.0,608729,0.1358207018229787
Chubut,2020,2020-1,96920.0,618994,0.15657663886887432
Chubut,2021,2021-1,132340.0,629181,0.21033693007258641
Chubut,2022,2022-1,171628.0,639294,0.2684649003431911
Corrientes,2018,2018-1,94420.0,1101084,0.08575185907705497
Corrientes,2019,2019-1,101659.0,1111052,0.0914979676918812
Corrientes,2020,2020-1,113737.0,1120801,0.10147831773883143
Corrientes,2021,2021-1,126625.0,1130320,0.11202579800410503
Corrientes,2022,2022-1,142578.0,1139604,0.12511188096917877
Cordoba,2018,2018-1,713991.0,3683937,0.19381194629549853
Cordoba,2019,2019-1,746418.0,3722332,0.2005242949849718
Cordoba,2020,2020-1,810924.0,3760450,0.21564546796261086
Cordoba,2021,2021-1,910881.0,3798261,0.239815273357992
Cordoba,2022,2022-1,1003803.0,3835738,0.26169748820174893
Entre Rios,2018,2018-1,196848.0,1360443,0.1446940445134416
Entre Rios,2019,2019-1,233180.0,1373270,0.169799092676604
Entre Rios,2020,2020-1,230292.0,1385961,0.16616051966830236
Entre Rios,2021,2021-1,251963.0,1398510,0.1801653188035838
Entre Rios,2022,2022-1,267926.0,1410908,0.18989615198156082
Formosa,2018,2018-1,32320.0,595129,0.054307553488403354
Formosa,2019,2019-1,45299.0,600229,0.0754695291297155
Formosa,2020,2020-1,46276.0,605193,0.07646486327502136
Formosa,2021,2021-1,50686.0,610019,0.0830892152539511
Formosa,2022,2022-1,54548.0,614706,0.08873835622232416
Jujuy,2018,2018-1,44393.0,753891,0.058885170402617884
Jujuy,2019,2019-1,83736.0,762440,0.10982634699123865
Jujuy,2020,2020-1,94089.0,770881,0.12205385785873565
Jujuy,2021,2021-1,110456.0,779212,0.14175346375569164
Jujuy,2022,2022-1,116509.0,787436,0.14795996119049676
La Pampa,2018,2018-1,82375.0,352378,0.23376885049577442
La Pampa,2019,2019-1,87085.0,355422,0.24501859761072753
La Pampa,2020,2020-1,89145.0,358428,0.24871103820014062
La Pampa,2021,2021-1,97105.0,361394,0.2686956617984803
La Pampa,2022,2022-1,109732.0,364322,0.30119509664527533
La Rioja,2018,2018-1,52242.0,383220,0.136323782683576
La Rioja,2019,2019-1,51653.0,388386,0.13299398021555875
La Rioja,2020,2020-1,48345.0,393531,0.12284927998048438
La Rioja,2021,2021-1,52628.0,398648,0.13201621480604442
La Rioja,2022,2022-1,84303.0,403727,0.2088118951667835
Mendoza,2018,2018-1,200927.0,1949293,0.10307685914841945
Mendoza,2019,2019-1,215979.0,1969982,0.10963501189350969
Mendoza,2020,2020-1,176960.0,1990338,0.08890952190030035
Mendoza,2021,2021-1,218923.0,2010363,0.10889724890479978
Mendoza,2022,2022-1,275185.0,2030061,0.1355550399717053
Misiones,2018,2018-1,103542.0,1233177,0.08396361592861365
Misiones,2019,2019-1,125633.0,1247362,0.10071895728745946
Misiones,2020,2020-1,133700.0,1261294,0.10600224848449291
Misiones,2021,2021-1,149387.0,1274992,0.11716700967535483
Misiones,2022,2022-1,171508.0,1288476,0.13310919256548046
Neuquen,2018,2018-1,116746.0,646784,0.18050230061349692
Neuquen,2019,2019-1,114242.0,655501,0.17428196143102756
Neuquen,2020,2020-1,122214.0,664057,0.18404143017843347
Neuquen,2021,2021-1,133235.0,672461,0.1981304492007715
Neuquen,2022,2022-1,149679.0,680726,0.21988142071846822
Rio Negro,2018,2018-1,111239.0,728403,0.15271628480387917
Rio Negro,2019,2019-1,120826.0,738060,0.16370755765113948
Rio Negro,2020,2020-1,126927.0,747610,0.16977702277925658
Rio Negro,2021,2021-1,141168.0,757052,0.18647067836819664
Rio Negro,2022,2022-1,157374.0,766387,0.20534534119185216
Salta,2018,2018-1,134001.0,1388532,0.09650551805792017
Salta,2019,2019-1,136012.0,1406584,0.09669667790903351
Salta,2020,2020-1,170695.0,1424397,0.11983667474727902
Salta,2021,2021-1,187574.0,1441988,0.130080139363157
Salta,2022,2022-1,197515.0,1459378,0.13534190593526832
San Juan,2018,2018-1,63240.0,764464,0.0827246279746332
San Juan,2019,2019-1,63982.0,772876,0.08278430175086302
San Juan,2020,2020-1,67861.0,781217,0.0868657492092466
San Juan,2021,2021-1,78267.0,789489,0.09913627675623093
San Juan,2022,2022-1,88178.0,797697,0.11054071909509501
San Luis,2018,2018-1,21382.0,495629,0.0431411398445208
San Luis,2019,2019-1,98701.0,502000,0.19661553784860558
San Luis,2020,2020-1,110454.0,508328,0.217288837128783
San Luis,2021,2021-1,119154.0,514610,0.23154233302889568
San Luis,2022,2022-1,119844.0,520845,0.23009532586470063
Santa Cruz,2018,2018-1,33772.0,347593,0.09715960908303677
Santa Cruz,2019,2019-1,25606.0,356647,0.07179648223593638
Santa Cruz,2020,2020-1,38335.0,365698,0.1048269336993913
Santa Cruz,2021,2021-1,46065.0,374756,0.12291997993361013
Santa Cruz,2022,2022-1,49102.0,383827,0.12792742563707088
Santa Fe,2018,2018-1,680053.0,3481514,0.19533254785130838
Santa Fe,2019,2019-1,732320.0,3509113,0.20869091419968522
Santa Fe,2020,2020-1,762556.0,3536418,0.21562948723821676
Santa Fe,2021,2021-1,826127.0,3563390,0.23183737957394504
Santa Fe,2022,2022-1,870479.0,3589999,0.2424733265942414
Santiago Del Estero,2018,2018-1,84236.0,958251,0.08790598705349642
Santiago Del Estero,2019,2019-1,91535.0,968309,0.09453077478366927
Santiago Del Estero,2020,2020-1,103054.0,978313,0.10533847551857126
Santiago Del Estero,2021,2021-1,111641.0,988245,0.11296895000733624
Santiago Del Estero,2022,2022-1,116461.0,998093,0.11668351546398983
Tierra Del Fuego,2018,2018-1,34409.0,164944,0.20861019497526434
Tierra Del Fuego,2019,2019-1,43361.0,169183,0.2562964364031847
Tierra Del Fuego,2020,2020-1,37606.0,173432,0.21683426357304303
Tierra Del Fuego,2021,2021-1,40422.0,177697,0.2274771099118162
Tierra Del Fuego,2022,2022-1,52611.0,181983,0.28909843227114623
Tucuman,2018,2018-1,167984.0,1654388,0.10153845409903843
Tucuman,2019,2019-1,172217.0,1674622,0.10283932732282271
Tucuman,2020,2020-1,200449.0,1694656,0.11828300256807281
Tucuman,2021,2021-1,231912.0,1714487,0.1352661175033698
Tucuman,2022,2022-1,245584.0,1734118,0.14161896710604469
